vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state;parking_zone;timestamp_in;timestamp_out
251;3655.0;492.68;3664.32;461.25;3650.0;457.0;3640.68;488.43;10;0.77;stop;6;1;7518
254;2191.44;1319.39;2221.69;1314.58;2219.31;1299.61;2189.06;1304.42;10;0.78;stop;13;1;7518
255;1958.95;1491.12;1972.48;1489.65;1969.45;1462.0;1955.93;1463.48;10;0.76;stop;14;1;7518
256;2857.77;1157.8;2858.62;1144.61;2830.98;1142.82;2830.13;1156.02;10;0.77;stop;11;1;7518
257;3297.69;432.9;3330.82;428.0;3328.56;412.72;3295.43;417.63;10;0.76;stop;8;1;7518
258;707.93;1020.95;713.11;1008.37;688.94;998.42;683.76;1011.01;10;0.75;stop;10;1;7518
261;3119.24;1438.3;3140.35;1423.86;3105.76;1373.27;3084.65;1387.7;9;0.77;stop;13;1;7518
262;2825.19;474.76;2854.46;471.3;2852.78;457.12;2823.51;460.58;10;0.77;stop;7;1;7518
263;3554.68;867.15;3586.46;864.62;3585.32;850.35;3553.54;852.88;10;0.75;stop;6;1;7518
264;1391.76;1049.08;1423.89;1046.96;1422.99;1033.29;1390.86;1035.42;10;0.76;stop;10;1;7518
265;1447.33;1050.89;1480.34;1050.05;1479.92;1033.73;1446.91;1034.58;10;0.77;stop;10;1;7518
266;1920.22;1218.1;1933.92;1213.6;1925.21;1187.15;1911.52;1191.65;10;0.75;stop;-1;;
267;2458.04;1152.39;2489.09;1150.53;2488.21;1135.86;2457.16;1137.72;10;0.73;stop;11;1;7518
268;2914.04;1052.23;2915.64;1037.87;2886.74;1034.65;2885.14;1049.0;10;0.81;stop;-1;;
271;2630.7;992.13;2631.0;964.39;2617.05;964.24;2616.75;991.98;10;0.77;stop;6;1;7518
273;764.71;1688.27;764.97;1673.77;735.69;1673.23;735.43;1687.73;10;0.75;stop;18;1;7518
276;2579.02;1149.25;2605.82;1142.39;2602.36;1128.87;2575.56;1135.73;10;0.77;stop;11;1;6732
278;2428.92;510.95;2460.53;507.31;2458.83;492.55;2427.22;496.19;10;0.77;stop;7;1;7518
280;476.0;1071.53;508.66;1070.92;508.37;1055.66;475.71;1056.27;10;0.77;stop;10;1;7518
282;2512.72;1020.61;2541.19;1019.1;2540.41;1004.39;2511.93;1005.9;10;0.68;stop;-1;;
283;2639.97;42.0;2668.0;38.63;2666.28;24.37;2638.25;27.74;10;0.77;stop;4;1;7518
285;2783.4;1156.95;2783.73;1137.75;2745.97;1137.11;2745.65;1156.31;9;0.73;stop;11;1;7518
286;2013.35;1974.38;2021.68;1938.68;2005.9;1934.99;1997.57;1970.7;10;0.72;stop;15;1;7518
287;3211.83;1507.59;3219.88;1473.57;3204.42;1469.91;3196.37;1503.93;10;0.57;stop;-1;;
288;989.33;1183.3;1016.77;1182.25;1016.27;1169.08;988.83;1170.12;10;0.76;stop;12;1;7518
289;2615.63;951.77;2630.78;950.0;2626.5;913.48;2611.34;915.25;10;0.77;stop;6;1;7518
290;2153.7;1159.36;2184.71;1157.77;2183.92;1142.39;2152.92;1143.98;10;0.76;stop;11;1;7518
291;2437.52;1306.41;2467.63;1305.34;2467.11;1290.65;2437.0;1291.73;10;0.73;stop;13;1;7518
293;1807.31;678.3;1822.45;676.92;1819.74;646.95;1804.59;648.33;10;0.76;stop;1;1;7518
296;1325.89;1692.92;1354.04;1692.59;1353.86;1677.58;1325.71;1677.91;10;0.74;stop;14;1;7518
298;3693.5;897.57;3727.27;894.31;3725.88;879.93;3692.11;883.19;10;0.76;stop;6;1;7518
299;1035.82;638.29;1036.77;624.77;1009.43;622.84;1008.48;636.36;10;0.76;stop;-1;;
300;582.71;1068.87;613.27;1067.49;612.6;1052.69;582.04;1054.07;10;0.76;stop;10;1;7518
301;1773.02;225.6;1788.0;225.4;1787.6;195.15;1772.63;195.35;10;0.77;stop;1;1;7518
302;2362.34;515.16;2389.79;511.81;2388.16;498.46;2360.71;501.82;10;0.79;stop;7;1;7518
303;2935.54;466.56;2964.32;462.56;2962.46;449.19;2933.68;453.19;10;0.76;stop;7;1;7518
304;338.27;1073.66;365.49;1073.33;365.32;1059.16;338.11;1059.48;10;0.69;stop;10;1;7191
305;154.61;1188.12;185.22;1187.68;185.0;1172.51;154.39;1172.94;10;0.78;stop;-1;;
308;1464.93;1174.09;1493.76;1172.07;1492.69;1156.91;1463.87;1158.93;10;0.75;stop;12;1;7518
309;3059.28;1185.05;3061.33;1170.52;3030.72;1166.2;3028.67;1180.73;10;0.78;stop;11;1;7518
310;1267.06;1653.88;1267.41;1639.69;1238.87;1638.99;1238.53;1653.18;10;0.74;stop;14;1;7518
311;3294.2;1361.98;3305.64;1325.22;3287.98;1319.73;3276.55;1356.49;10;0.65;stop;11;1;7518
312;2209.29;529.8;2242.02;526.06;2240.27;510.82;2207.55;514.56;10;0.79;stop;7;1;7518
313;717.16;1184.28;747.03;1182.77;746.28;1167.9;716.41;1169.42;10;0.73;stop;12;1;7518
314;1928.06;1247.2;1941.55;1244.09;1935.19;1216.55;1921.7;1219.66;10;0.68;stop;-1;;
315;2100.24;1284.56;2129.81;1281.39;2128.26;1266.94;2098.69;1270.11;10;0.76;stop;13;1;7518
316;2584.62;618.73;2598.53;617.44;2595.63;586.15;2581.72;587.43;10;0.74;stop;7;1;7518
318;3390.76;1001.5;3404.48;973.9;3391.12;967.25;3377.39;994.85;10;0.78;stop;6;1;7518
319;766.1;2046.5;781.76;2046.15;781.05;2014.75;765.39;2015.1;10;0.73;stop;-1;;
320;2502.41;504.31;2531.73;501.6;2530.46;487.94;2501.15;490.65;10;0.76;stop;7;1;7518
321;3286.94;549.97;3300.66;548.7;3298.06;520.65;3284.34;521.92;10;0.75;stop;8;1;7518
324;2102.48;536.26;2130.03;532.73;2128.27;518.99;2100.72;522.52;10;0.79;stop;7;1;7518
325;2139.97;534.74;2168.83;531.67;2167.28;517.13;2138.42;520.2;10;0.79;stop;7;1;7518
326;2564.79;406.79;2579.56;405.69;2577.21;373.96;2562.44;375.06;10;0.76;stop;7;1;7518
328;3434.72;967.96;3446.89;941.98;3434.34;936.1;3422.17;962.09;10;0.75;stop;6;1;7518
329;762.03;2046.63;762.95;2015.07;747.44;2014.62;746.52;2046.18;10;0.73;stop;-1;;
331;3486.29;415.55;3514.89;411.75;3513.09;398.2;3484.48;402.0;10;0.67;stop;6;1;7518
332;2581.99;580.91;2595.38;579.63;2592.63;550.84;2579.24;552.12;10;0.74;stop;7;1;7518
333;2588.86;670.96;2603.6;670.47;2602.64;641.92;2587.9;642.41;10;0.73;stop;7;1;7518
334;573.65;1070.07;574.07;1055.95;550.41;1055.24;549.99;1069.36;10;0.7;stop;10;1;7518
336;1280.15;1692.56;1280.27;1678.19;1250.53;1677.94;1250.41;1692.31;10;0.74;stop;14;1;7518
337;1164.27;1894.35;1179.47;1894.15;1179.11;1866.52;1163.91;1866.72;10;0.77;stop;-1;;
338;1800.21;353.04;1814.7;351.9;1812.16;319.71;1797.68;320.85;10;0.77;stop;1;1;7518
339;3692.8;856.72;3725.08;855.95;3724.7;840.15;3692.42;840.92;10;0.77;stop;6;1;7518
